ssim,psnr,mae,mse,ncc,subject,method
0.8784315586090088,26.98780640735531,0.024787306395167342,0.0020008722417534136,0.9838712409968469,033_S_10099,Plasma (Ours)
0.8912266492843628,28.97750524261499,0.014298072676056872,0.0012654630702102444,0.9790897583791791,033_S_10249,Plasma (Ours)
0.8720082640647888,27.04892178247079,0.020541814107445135,0.0019729124878561837,0.9645157430367974,033_S_10793,Plasma (Ours)
0.844778835773468,25.7447831792257,0.02362844873487272,0.0026639230893499193,0.9804833903807957,033_S_6705,Plasma (Ours)
0.8704254031181335,27.0149866776981,0.024397775171701448,0.001988388909916275,0.9852670806351829,033_S_6889,Plasma (Ours)
0.8845387101173401,30.398006244271908,0.013095180241796947,0.0009124296207019191,0.9882250414536197,035_S_10241,Plasma (Ours)
0.9100223779678345,27.62107112027489,0.0203919407609156,0.0017293897793291464,0.9832957651526527,035_S_10274,Plasma (Ours)
0.9310836791992188,28.90828839359032,0.017564379203130698,0.0012857933065943265,0.9847610972336618,035_S_6488,Plasma (Ours)
0.9063087105751038,26.221319716420957,0.024064132100396048,0.002387085794759877,0.9682055879192849,036_S_10133,Plasma (Ours)
0.9049161672592163,28.686577574480197,0.01652773949270795,0.0013531384739065343,0.9889959912451719,036_S_6466,Plasma (Ours)
0.8880935907363892,30.90649483103966,0.01303912071581184,0.0008116158446543524,0.9827128764087625,036_S_6897,Plasma (Ours)
0.8786644339561462,29.46164203675562,0.014480144103306518,0.0011319722915885194,0.9772459907815357,057_S_6869,Plasma (Ours)
0.9302762150764465,25.218334170860665,0.031129102549937736,0.003007229568492575,0.9892877716183123,067_S_6957,Plasma (Ours)
0.9014834761619568,23.390097759262783,0.03598941485593084,0.004581315741015757,0.9872293791696607,070_S_4856,Plasma (Ours)
0.9341840744018555,31.81014173470458,0.01016349542263434,0.0006591523830454149,0.9816772406652432,094_S_6250,Plasma (Ours)
0.9054930210113525,22.888555458083854,0.03699332571908719,0.005142146602275085,0.9863431861962222,094_S_6269,Plasma (Ours)
0.9220139384269714,25.428961248556558,0.026577024690166647,0.002864863109818635,0.9904289592483242,114_S_6113,Plasma (Ours)
0.924275815486908,26.060819060418986,0.024696524613562948,0.0024769548707129115,0.9729503226018758,114_S_6429,Plasma (Ours)
